target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
DCLP3/91,outlier,0.94,,1,10,1.0,0.0009765625
DCLP3/114,control,0.875,,1,4,1.0,0.0625
Loop/100,outlier,0.84,,1,5,1.0,0.03125
DCLP5/52,outlier,0.8395061728395061,,1,9,0.8888888888888888,0.005859375
Loop/633,outlier,0.8,,1,5,0.8,0.0625
Loop/1142,outlier,0.7986111111111112,,1,24,0.9583333333333334,1.1920928955078125e-07
Loop/19,outlier,0.7806122448979592,,1,14,0.8571428571428571,0.0006103515625
DCLP3/111,control,0.69,,1,10,0.9,0.0068359375
DCLP5/81,outlier,0.6875,,1,4,1.0,0.0625
DCLP3/10,control,0.6528925619834711,,1,11,0.7272727272727273,0.01220703125
DCLP3/68,control,0.64,,1,5,0.6,0.15625
DCLP3/43,control,0.6,,1,5,1.0,0.03125
Loop/968,outlier,0.6,,1,5,0.8,0.0625
Loop/317,control,0.5850694444444444,,1,24,0.75,0.0003249049186706543
DCLP3/134,control,0.5714285714285714,,1,14,0.9285714285714286,0.00042724609375
Loop/467,outlier,0.5702479338842975,,1,11,0.7272727272727273,0.02099609375
DCLP3/102,control,0.5679012345679012,,1,9,0.6666666666666666,0.08203125
Loop/1116,control,0.5678670360110804,,1,19,0.8421052631578947,8.20159912109375e-05
DCLP3/144,control,0.5625,,1,4,0.75,0.125
Loop/342,outlier,0.56,,1,5,0.6,0.3125
Loop/1153,outlier,0.554016620498615,,1,19,0.7894736842105263,0.000705718994140625
Loop/1071,control,0.5495867768595041,,1,22,0.7727272727272727,0.0023424625396728516
Loop/727,outlier,0.5392561983471075,,1,22,0.8181818181818182,4.029273986816406e-05
DCLP3/135,control,0.52,,1,5,0.6,0.40625
Loop/1120,outlier,0.5,,1,4,0.5,0.5625
DCLP3/171,control,0.48,,1,5,0.4,0.59375
