id,all__level,all__shape,all__raw,all__quantile,all__acf,all__spectrum
AZT1D/11,0.2300000031789144,0.19333333695928256,0.2033333361148834,0.20000000298023224,0.33333333507180213,0.30333333760499953
AZT1D/13,0.26000000511606536,0.16000000139077505,0.033333333830038704,0.23000000442067783,0.37666666905085244,0.25333333710829414
AZT1D/14,0.1033333346247673,0.40333333536982535,0.06666666766007741,0.09333333447575569,0.2666666696468989,0.2333333373069763
AZT1D/15,0.2600000056127707,0.31333333601554236,0.44000000481804213,0.2900000035762787,0.48000000094374023,0.470000002036492
AZT1D/16,0.3866666746636232,0.28666667093833287,0.30666667222976685,0.30333333611488345,0.3833333345750968,0.3866666687031587
AZT1D/19,0.2566666719814142,0.1933333364625772,0.1000000017384688,0.2533333400885264,0.4000000022351742,0.30000000322858494
AZT1D/2,0.290000003327926,0.22666667103767396,0.1966666693488757,0.24333333695928255,0.3700000022848447,0.2966666705906391
AZT1D/20,0.27666667302449544,0.2266666683057944,0.1633333367606004,0.32666667103767394,0.3133333347737789,0.3933333377043406
AZT1D/4,0.1600000036259492,0.10333333512147268,0.0800000011920929,0.13666666770974795,0.270000001291434,0.20666667098800343
AZT1D/6,0.25333333735664687,0.1333333358168602,0.06333333452542624,0.20666667098800343,0.383333337555329,0.370000005265077
AZT1D/7,0.3233333396414916,0.3133333347737789,0.2233333376546701,0.2700000042716662,0.44333333770434064,0.43333333879709246
BrisT1D/P02,0.33589744170506797,0.30512821425994235,0.39487180213133494,0.25641026298205055,0.443589752415816,0.3256410335501035
BrisT1D/P03,0.3615384707848231,0.5205128314594428,0.4769230902194977,0.3846153947214285,0.3974359062810739,0.3205128267407417
BrisT1D/P04,0.3000000091890494,0.3871794966359933,0.2666666721304258,0.35897436887025835,0.4794871903955936,0.4179487275580565
BrisT1D/P07,0.3974359057843685,0.25128205542763077,0.3179487235844135,0.35384616429607074,0.36666667585571605,0.3179487253228823
BrisT1D/P10,0.20256410762667656,0.4717948796848456,0.09743589883049329,0.13076923390229542,0.20512820879618326,0.16923077429334324
BrisT1D/P11,0.43076924259463945,0.5435897509256998,0.43333334450920424,0.3333333395421505,0.48461539472142856,0.43333334450920424
BrisT1D/P12,0.4128205269575119,0.18974359333515167,0.16153846432765326,0.3487179562449455,0.3076923151810964,0.3051282102862994
BrisT1D/P15,0.43589744716882706,0.4410256505012512,0.5230769323805968,0.41538462539513904,0.48205129280686376,0.3282051349679629
BrisT1D/P16,0.2025641071299712,0.3384615461031596,0.11538461819291115,0.21794872085253397,0.38205129057168963,0.24871795425812404
BrisT1D/P18,0.28717949440081914,0.37692308276891706,0.4435897499322891,0.31025641510883967,0.38461539074778556,0.31025641759236655
BrisT1D/P19,0.39230770121018094,0.23589743996659915,0.22820513372619947,0.34358975241581596,0.3000000067055225,0.31282051975528397
BrisT1D/P22,0.364102574189504,0.2974359060327212,0.2871794934074084,0.2717948784430822,0.4897436000406742,0.40256410812338195
BrisT1D/P23,0.4025641125937303,0.4487179569900036,0.5358974461754163,0.2153846209247907,0.41025641759236653,0.5948718041181564
BrisT1D/P24,0.38205129181345304,0.35897436837355295,0.2692307765285174,0.3769230842590332,0.3615384687980016,0.40769231766462327
CTR3/11,0.3435897514224052,0.464102574189504,0.20000000596046447,0.34358974918723106,0.49230770021677017,0.3051282102862994
CTR3/14,0.2666666713853677,0.38461539248625437,0.5615384700397651,0.2974359020590782,0.37179488117496173,0.32564103131492933
CTR3/15,0.5153846263885498,0.3153846234083176,0.23333334003885586,0.4564102639754613,0.49743590876460075,0.3948718036214511
CTR3/16,0.3410256470243136,0.28205128808816277,0.34102564975619315,0.37948718667030334,0.4282051372031371,0.36666667784253754
CTR3/17,0.3564102622369925,0.38461539323131244,0.37948718791206676,0.3153846226632595,0.34871795723835625,0.31282052050034204
CTR3/18,0.4564102684458097,0.2769230832656225,0.19230769847830137,0.4512820616364479,0.43846154510974883,0.41794872706135117
