id,all__level,all__shape,all__raw,all__quantile,all__acf,all__spectrum
AZT1D/11,0.27653112449799194,0.1999246987951807,0.09595883534136546,0.19784136546184738,0.4189508032128514,0.3587600401606426
AZT1D/13,0.11746987951807228,0.14575803212851404,0.012173694779116466,0.12256526104417671,0.3289407630522089,0.14329819277108433
AZT1D/14,0.15456827309236948,0.47369477911646585,0.06719377510040161,0.12502510040160641,0.1997238955823293,0.14111445783132529
AZT1D/15,0.34641064257028115,0.3875753012048193,0.33481425702811246,0.3690010040160642,0.4484437751004016,0.4666415662650602
AZT1D/16,0.3591616465863454,0.362324297188755,0.201179718875502,0.29789156626506025,0.39093875502008035,0.2804467871485944
AZT1D/19,0.20863453815261043,0.17733433734939757,0.03237951807228916,0.17703313253012049,0.3463102409638554,0.158785140562249
AZT1D/2,0.2657379518072289,0.19907128514056224,0.09078815261044176,0.1959086345381526,0.37592871485943774,0.31636546184738956
AZT1D/20,0.220105421686747,0.3870983935742972,0.13684738955823292,0.2393825301204819,0.2672941767068273,0.27251506024096384
AZT1D/4,0.18310742971887548,0.13381024096385544,0.04972389558232932,0.14967369477911646,0.2919929718875502,0.2837600401606426
AZT1D/6,0.1303714859437751,0.12143574297188756,0.021937751004016064,0.08639558232931727,0.3261044176706827,0.24041164658634537
AZT1D/7,0.19339859437751006,0.34786646586345377,0.08732429718875502,0.18657128514056223,0.3919929718875502,0.3361696787148594
BrisT1D/P02,0.3101656626506024,0.33190261044176705,0.3160893574297189,0.24103915662650605,0.44688755020080323,0.30416666666666664
BrisT1D/P03,0.3324799196787149,0.508785140562249,0.38880522088353414,0.2799698795180723,0.4097138554216867,0.3241214859437751
BrisT1D/P04,0.23047188755020082,0.37452309236947795,0.18069779116465864,0.2202058232931727,0.43222891566265065,0.3248493975903614
BrisT1D/P07,0.3672941767068273,0.3057981927710844,0.28079819277108437,0.292394578313253,0.3883283132530121,0.345105421686747
BrisT1D/P10,0.19957329317269076,0.4775853413654618,0.1332831325301205,0.11804718875502009,0.16937751004016063,0.16041666666666668
BrisT1D/P11,0.4083082329317269,0.5403363453815261,0.349824297188755,0.30471887550200805,0.4770331325301205,0.42565261044176705
BrisT1D/P12,0.3758785140562249,0.24565763052208836,0.18596887550200805,0.32633032128514056,0.32710843373493975,0.38491465863453816
BrisT1D/P15,0.4042921686746988,0.42233935742971884,0.42507530120481923,0.3587098393574297,0.48491465863453814,0.31588855421686746
BrisT1D/P16,0.16428212851405624,0.34116465863453815,0.08358433734939759,0.16674196787148596,0.31671686746987954,0.2556475903614458
BrisT1D/P18,0.3000502008032129,0.3679718875502008,0.4023343373493976,0.2844879518072289,0.41242469879518073,0.33386044176706825
BrisT1D/P19,0.3305722891566265,0.2907379518072289,0.18406124497991969,0.2713855421686747,0.37949297188755016,0.345281124497992
BrisT1D/P22,0.311144578313253,0.3030622489959839,0.23905622489959838,0.21930220883534135,0.43980923694779117,0.362324297188755
BrisT1D/P23,0.38323293172690764,0.4744477911646586,0.44856927710843375,0.22407128514056224,0.39410140562248996,0.5459086345381526
BrisT1D/P24,0.31448293172690767,0.3564508032128514,0.20459337349397588,0.291214859437751,0.3207831325301205,0.33436244979919677
CTR3/11,0.32103413654618473,0.3093624497991968,0.17670682730923695,0.3565261044176707,0.48903112449799196,0.25921184738955827
CTR3/14,0.27095883534136544,0.3779116465863454,0.44375,0.2728413654618474,0.3532379518072289,0.2940763052208835
CTR3/15,0.421460843373494,0.23265562248995983,0.17914156626506023,0.37028112449799194,0.37356927710843374,0.2753263052208835
CTR3/16,0.2862198795180723,0.2699799196787149,0.26352911646586347,0.33940763052208833,0.3469628514056225,0.2496234939759036
CTR3/17,0.30973895582329314,0.2607429718875502,0.28752510040160645,0.2944277108433735,0.29460341365461845,0.16568775100401606
CTR3/18,0.38606927710843375,0.22228915662650603,0.18340863453815262,0.37685742971887554,0.394929718875502,0.2469879518072289
CTR3/19,0.31101907630522085,0.20685240963855422,0.09349899598393575,0.1862449799196787,0.4992971887550201,0.3037901606425703
CTR3/20,0.3801706827309237,0.4662399598393574,0.33509036144578314,0.3009789156626506,0.4305722891566265,0.2980421686746988
CTR3/27,0.3938755020080321,0.27939257028112446,0.3296937751004016,0.4093122489959839,0.3530371485943775,0.24997489959839356
CTR3/29,0.4076305220883534,0.3443524096385542,0.3566516064257028,0.37033132530120483,0.39839357429718875,0.3231174698795181
CTR3/3,0.3734939759036145,0.25381526104417673,0.22063253012048192,0.3269829317269076,0.35838353413654617,0.32936746987951804
CTR3/4,0.377535140562249,0.3282379518072289,0.2424698795180723,0.4317520080321285,0.4137550200803213,0.2273343373493976
CTR3/5,0.4719628514056225,0.33155120481927713,0.2956576305220883,0.4080321285140562,0.31817269076305216,0.24964859437751005
CTR3/8,0.29108935742971886,0.3770833333333333,0.23160140562248996,0.27379518072289155,0.3879518072289157,0.402535140562249
DCLP3/10,0.28426204819277107,0.2094879518072289,0.1067520080321285,0.19033634538152608,0.3152359437751004,0.2329317269076305
DCLP3/100,0.3981174698795181,0.3352158634538152,0.2519327309236948,0.3654116465863454,0.3838604417670683,0.36084337349397594
DCLP3/102,0.25577309236947793,0.45609939759036144,0.3007781124497992,0.34874497991967873,0.4911395582329317,0.33596887550200805
DCLP3/105,0.45243473895582326,0.4639558232931727,0.3694277108433735,0.368925702811245,0.42319277108433734,0.5240712851405622
DCLP3/111,0.312324297188755,0.3258283132530121,0.26902610441767066,0.2516315261044177,0.4561746987951807,0.4160140562248996
DCLP3/114,0.35868473895582326,0.3429718875502008,0.34919678714859437,0.3049949799196787,0.4616465863453815,0.40504518072289153
DCLP3/115,0.34678714859437754,0.27658132530120483,0.3770833333333333,0.22532630522088354,0.4438253012048193,0.26352911646586347
DCLP3/116,0.35271084337349395,0.4043423694779117,0.2939759036144578,0.33345883534136544,0.39272088353413653,0.3358433734939759
DCLP3/117,0.34211847389558236,0.402183734939759,0.28117469879518076,0.31784638554216865,0.5242971887550201,0.3893323293172691
DCLP3/118,0.23900602409638555,0.39367469879518074,0.1252761044176707,0.2372238955823293,0.3783132530120482,0.2664407630522088
DCLP3/120,0.3164156626506024,0.44031124497991964,0.31526104417670686,0.2285140562248996,0.4587349397590362,0.41977911646586347
DCLP3/121,0.31837349397590364,0.384613453815261,0.3208082329317269,0.26393072289156627,0.49691265060240963,0.22248995983935743
DCLP3/122,0.3801957831325301,0.27188755020080324,0.28406124497991964,0.2635542168674699,0.39008534136546186,0.34113955823293174
DCLP3/123,0.3174698795180723,0.42274096385542165,0.20183232931726908,0.282781124497992,0.5374497991967871,0.43569277108433735
DCLP3/126,0.22211345381526104,0.28925702811244974,0.07924196787148595,0.12346887550200804,0.41410642570281125,0.19723895582329315
DCLP3/128,0.322464859437751,0.26295180722891565,0.13388554216867468,0.3337349397590362,0.2928212851405622,0.23004518072289154
DCLP3/129,0.30504518072289155,0.2955321285140562,0.28308232931726907,0.31526104417670686,0.4512299196787149,0.3636546184738956
DCLP3/13,0.373820281124498,0.31955321285140564,0.1630773092369478,0.37153614457831324,0.38960843373493975,0.30082831325301207
DCLP3/130,0.3317018072289157,0.2715612449799197,0.1644578313253012,0.33190261044176705,0.41852409638554217,0.318574297188755
DCLP3/132,0.2884287148594378,0.372113453815261,0.24309738955823293,0.23368473895582328,0.36046686746987955,0.4186244979919679
DCLP3/133,0.3216867469879518,0.4536144578313253,0.2,0.3632781124497992,0.3676957831325301,0.3217118473895582
DCLP3/134,0.32786144578313253,0.36887550200803215,0.1768825301204819,0.318925702811245,0.44053714859437754,0.27377008032128514
DCLP3/135,0.23237951807228915,0.37065763052208833,0.08757530120481928,0.21194779116465864,0.29096385542168673,0.20062751004016063
DCLP3/137,0.20376506024096386,0.40208333333333335,0.11001506024096384,0.22261546184738956,0.370933734939759,0.22269076305220886
DCLP3/138,0.2127761044176707,0.31900100401606424,0.12798694779116468,0.17291666666666666,0.3424698795180723,0.22505020080321284
DCLP3/14,0.25938755020080323,0.1897339357429719,0.06410642570281125,0.28062248995983935,0.41207329317269076,0.26506024096385544
DCLP3/141,0.33150100401606425,0.3150100401606426,0.2772339357429719,0.36242469879518074,0.47630522088353416,0.3468624497991968
DCLP3/142,0.2935993975903614,0.30481927710843376,0.24897088353413654,0.3134538152610442,0.38566767068273095,0.3279367469879518
DCLP3/143,0.28551706827309237,0.5521084337349398,0.2656375502008032,0.304894578313253,0.41302710843373497,0.38524096385542167
DCLP3/144,0.39249497991967874,0.32949297188755017,0.2806977911646586,0.3378012048192771,0.4666666666666667,0.42520080321285136
DCLP3/145,0.308609437751004,0.27324297188755026,0.15293674698795182,0.3012801204819277,0.4414658634538153,0.39076305220883534
DCLP3/147,0.4518323293172691,0.3903363453815261,0.25740461847389556,0.3555722891566265,0.44322289156626504,0.302535140562249
DCLP3/148,0.3485190763052209,0.3717369477911647,0.3617720883534137,0.2871987951807229,0.45010040160642567,0.4555722891566265
DCLP3/149,0.37961847389558234,0.2960592369477911,0.13988453815261043,0.227535140562249,0.3813253012048193,0.3862198795180723
DCLP3/15,0.18082329317269075,0.1728664658634538,0.05283634538152611,0.1791164658634538,0.36480923694779116,0.3137299196787149
DCLP3/150,0.3779367469879518,0.36854919678714865,0.4259538152610442,0.31875,0.5105421686746988,0.37379518072289153
DCLP3/153,0.3157379518072289,0.3852158634538153,0.23511546184738955,0.2318022088353414,0.4240461847389558,0.31031626506024096
DCLP3/154,0.4429718875502008,0.3294929718875502,0.3080321285140562,0.34362449799196787,0.34633534136546185,0.29874497991967874
DCLP3/155,0.44497991967871486,0.3954819277108434,0.30070281124497994,0.3741214859437751,0.4100903614457831,0.3498995983935743
DCLP3/157,0.267745983935743,0.42640562248995983,0.18639558232931727,0.23616967871485944,0.40399096385542166,0.3454066265060241
DCLP3/158,0.3698293172690763,0.39076305220883534,0.26460843373493975,0.3465612449799197,0.4018574297188755,0.4261546184738956
DCLP3/159,0.18320783132530122,0.49641064257028117,0.07941767068273092,0.2265562248995984,0.3625,0.1764809236947791
DCLP3/160,0.19856927710843372,0.2824799196787149,0.2314508032128514,0.20737951807228916,0.4375,0.25901104417670684
DCLP3/162,0.2970883534136546,0.4204819277108434,0.13534136546184738,0.23978413654618475,0.3985943775100402,0.3541666666666667
DCLP3/163,0.32587851405622487,0.2983935742971887,0.23089859437751004,0.3595883534136546,0.3856425702811245,0.3432981927710843
DCLP3/164,0.3447038152610442,0.4430973895582329,0.45815763052208835,0.3756024096385542,0.4155120481927711,0.36731927710843376
DCLP3/165,0.26862449799196786,0.22216365461847387,0.10366465863453815,0.24681224899598395,0.3954317269076305,0.2570281124497992
DCLP3/166,0.25901104417670684,0.36021586345381523,0.22409638554216868,0.30102911646586344,0.4053463855421687,0.27309236947791166
DCLP3/167,0.328890562248996,0.3881275100401606,0.20240963855421687,0.3067520080321285,0.47331827309236946,0.3104417670682731
DCLP3/168,0.3501506024096386,0.24289658634538153,0.14184236947791165,0.37085843373493976,0.3863453815261044,0.27615461847389555
DCLP3/169,0.32492469879518077,0.2991465863453815,0.18170180722891566,0.27663152610441766,0.4855923694779117,0.2987198795180723
DCLP3/17,0.24884538152610441,0.2758785140562249,0.2685491967871486,0.2483433734939759,0.3234437751004016,0.31782128514056224
DCLP3/171,0.30682730923694784,0.3958584337349398,0.17610441767068272,0.33702309236947786,0.36880020080321285,0.31872489959839356
DCLP3/18,0.26917670682730926,0.3022339357429719,0.3236696787148594,0.24588353413654618,0.43315763052208833,0.3291917670682731
DCLP3/19,0.16762048192771084,0.41157128514056224,0.49081325301204815,0.15035140562248994,0.4911646586345382,0.25619979919678715
DCLP3/20,0.3210090361445783,0.38589357429718874,0.21754518072289156,0.2976154618473895,0.5419929718875502,0.3024849397590362
DCLP3/21,0.28478915662650606,0.34477911646586346,0.2009538152610442,0.29274598393574297,0.5032128514056224,0.3767319277108434
DCLP3/22,0.3166917670682731,0.39610943775100405,0.20983935742971888,0.23458835341365464,0.4126506024096386,0.33627008032128514
DCLP3/24,0.31265060240963854,0.5241967871485944,0.13082329317269076,0.2897339357429719,0.41405622489959837,0.2912399598393574
DCLP3/25,0.2642821285140562,0.25386546184738956,0.19324799196787149,0.3098142570281125,0.419754016064257,0.4222389558232932
DCLP3/26,0.2999748995983936,0.3138303212851406,0.22269076305220883,0.2713855421686747,0.39362449799196786,0.32944277108433734
DCLP3/28,0.2467871485943775,0.3406124497991968,0.13079819277108432,0.18980923694779117,0.34058734939759033,0.4279116465863454
DCLP3/29,0.326355421686747,0.3468122489959839,0.19603413654618473,0.25933734939759034,0.40268574297188753,0.3041415662650602
DCLP3/3,0.24392570281124498,0.354543172690763,0.13795180722891567,0.20893574297188755,0.31583835341365457,0.32858935742971884
DCLP3/31,0.2595883534136546,0.29144076305220884,0.23978413654618475,0.2473895582329317,0.478062248995984,0.3793925702811245
DCLP3/32,0.33639558232931727,0.43765060240963854,0.19653614457831325,0.3465863453815261,0.4494728915662651,0.39713855421686745
DCLP3/37,0.32597891566265064,0.18215361445783132,0.13792670682730923,0.25173192771084335,0.3170180722891566,0.35426706827309234
DCLP3/38,0.34249497991967875,0.28579317269076304,0.3146084337349398,0.3290160642570281,0.4383283132530121,0.41887550200803214
DCLP3/39,0.3725401606425703,0.2729417670682731,0.2040160642570281,0.2272339357429719,0.37512550200803213,0.3232178714859438
DCLP3/41,0.2983935742971887,0.38483935742971886,0.3233433734939759,0.28697289156626504,0.42924196787148594,0.327359437751004
DCLP3/43,0.3701807228915663,0.27146084337349397,0.35755522088353414,0.408785140562249,0.3761546184738956,0.28132530120481924
DCLP3/44,0.4189508032128514,0.4454819277108434,0.46656626506024096,0.3732680722891566,0.4602409638554217,0.3916164658634538
DCLP3/46,0.40406626506024096,0.40687751004016065,0.4315763052208836,0.40717871485943774,0.4121987951807229,0.3953062248995984
