target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
DCLP3/91,outlier,0.96,,1,10,1.0,0.0009765625
DCLP5/52,outlier,0.8641975308641975,,1,9,1.0,0.001953125
Loop/100,outlier,0.8,,1,5,0.8,0.0625
Loop/633,outlier,0.8,,1,5,0.8,0.0625
Loop/19,outlier,0.7704081632653061,,1,14,0.8571428571428571,0.0006103515625
DCLP3/114,control,0.75,,1,4,0.75,0.125
DCLP5/81,outlier,0.75,,1,4,0.75,0.125
Loop/1142,outlier,0.7239583333333334,,1,24,0.9166666666666666,1.9669532775878906e-06
DCLP3/144,control,0.5625,,1,4,0.75,0.125
Loop/1120,outlier,0.5625,,1,4,0.75,0.4375
Loop/968,outlier,0.56,,1,5,0.6,0.15625
DCLP3/111,control,0.56,,1,10,0.8,0.052734375
DCLP3/102,control,0.5555555555555556,,1,9,0.7777777777777778,0.01953125
Loop/467,outlier,0.5454545454545454,,1,11,0.8181818181818182,0.02099609375
Loop/317,control,0.5416666666666666,,1,24,0.7916666666666666,0.007522463798522949
Loop/1153,outlier,0.5401662049861495,,1,19,0.8421052631578947,0.011493682861328125
Loop/1116,control,0.5373961218836565,,1,19,0.8947368421052632,0.000209808349609375
DCLP3/68,control,0.52,,1,5,0.6,0.21875
DCLP3/135,control,0.52,,1,5,0.6,0.59375
Loop/727,outlier,0.518595041322314,,1,22,0.7272727272727273,0.0018355846405029297
Loop/1071,control,0.5103305785123967,,1,22,0.5909090909090909,0.1110537052154541
DCLP3/43,control,0.48,,1,5,0.4,0.90625
DCLP3/171,control,0.48,,1,5,0.2,0.84375
DCLP3/134,control,0.4744897959183674,,1,14,0.2857142857142857,0.82122802734375
DCLP3/10,control,0.47107438016528924,,1,11,0.36363636363636365,0.83984375
Loop/342,outlier,0.4,,1,5,0.2,0.78125
